acousticness;danceability;energy;valence;tempo;loudness;speechiness;instrumentalness;track_popularity;is_hit
33;4,68E+15;282;417;1452;-9792;144;0,000233;;0
115;36;8,86E+15;3,43E+15;9573;-5626;411;122;;0
58;7,98E+15;426;612;98034;-7989;319;0,000372;;0
70200000000;682;872;6,78E+15;114021;-5,967E+16;389;164;;0
715;6,71E+15;503;746;93314;-11317;558;0;;0
203;9;619;8,64E+15;94121;-6518;312;156;710;1
95;685;397;6,81E+15;123251;-12672;665;0;0;0
993;178;505;684;136546;-32978;366;821;;0
0,00358;647;965;407;126013;-784;861;915;0;0
94;236;238;529;136105;-2,8293E+15;44;7,04E+15;;0
826;505;529;8,34E+15;153683;-10496;375;0;;0
489;623;679;526;18487;-7,589E+15;939;226;0;0
769;363;576;2,29E+15;168502;-20258;36;0;10;0
28;396;779;81;106606;-11018;473;0;;0
816;589;3,33E+15;475;8,8952E+15;-11514;361;0,000056;0;0
6,76E+15;319;724;685;179482;-2116;57;0;;0
107;746;644;703;98003;-708;647;1,43E+11;0;0
0,00243;456;74;311;12596;-8798;341;888;;0
967;303;345;887;76376;-16698;361;778;;0
223;67;541;105;14003;-7,253E+15;482;161;;0
251;441;246;337;102194;-14033;276;161;;0
963;126;983;335;8,6183E+15;-20887;396;949;;0
142;356;96;857;125921;-3487;104;0;760;1
16;588;286;223;140016;-18743;311;115;;0
0,000802;282;997;357;51983;-4557;173;568;0;0
911;445;163;221;129716;-16539;314;624;40;0
123;568;6,97E+15;524;103993;-5653;308;446;;0
498;617;635;446;103019;-6769;317;0,00144;850;1
506;5;6,68E+15;325;179967;-1,2631E+16;541;149;;0
604;611;601;569;105003;-15102;752;546;;0
295;574;971;816;1,56008E+16;-3302;1,01E+15;177;;0
226;685;324;579;125652;-13415;292;392;0;0
0,00225;363;995;313;156489;-3499;1,64E+15;65;;0
289;317;7,09E+15;206;8,8231E+15;-847;493;639;;0
521;679;618;706;143215;-898;878;927;;0
539;4,32E+15;7,96E+15;3,88E+15;123555;-7,924E+15;539;773;0;0
14;292;838;423;1,59176E+16;-4459;78;479;650;1
862;8,91E+15;77;8,19E+15;112997;-6124;439;315;670;1
0,00055;537;939;178;130024;-9589;42;8,37E+15;;0
993;649;306;753;113477;-13063;502;936;;0
125;8,01E+15;491;322;94986;-7183;106;0;;0
263;342;321;225;108472;-11841;363;8,96E+15;0;0
2,74E+11;48;983;12;124425;-4583;146;0,00542;;0
941;687;617;665;12108;-5,213E+15;287;0,00132;800;1
583;307;897;537;1,54206E+16;-5845;104;0;;0
685;563;316;119;78126;-9246;396;0;;0
638;386;401;505;134235;-11863;315;8,59E+15;;0
303;2,74E+15;92;397;153986;-4096;489;412;690;1
371;589;3,38E+15;3,83E+15;96996;-1468;322;22;0;0
72;581;281;281;75001;-10325;383;244;;0
888;575;405;54;118308;-20223;501;112;;0
218;595;625;855;11794;-6191;432;0;;0
769;865;216;351;168343;-18241;399;7,49E+15;;0
0,000855;365;933;8,29E+15;139533;-4868;327;4,78E+13;0;0
305;3,67E+15;609;445;149394;-1,1221E+16;455;256;610;1
409;757;596;195;97769;-8039;339;44;650;1
7,61E+15;777;31;667;1021;-14759;384;2,22E+13;;0
515;319;525;445;8642;-835;286;0;800;1
992;198;228;423;72041;-29263;348;546;;0
312;436;757;2,24E+15;9,0034E+15;-611;198;301;;0
214;657;948;965;149958;-4921;444;848;;0
983;354;971;129;104106;-32566;408;8,76E+15;;0
305;875;7,14E+15;5;131994;-808;825;0;;0
769;561;444;573;8,8433E+15;-13097;381;816;;0
993;121;201;398;8922;-30491;452;587;;0
148;472;542;347;1440;-9008;276;149;;0
357;376;787;3,72E+15;87105;-4731;395;0;670;1
772;768;331;561;114029;-1,0766E+16;526;0,000199;0;0
461;526;486;472;9806;-965;266;0,00509;;0
7,12E+15;494;285;3,78E+15;101897;-12844;267;0;;0
129;516;718;579;115321;-5259;404;276;0;0
221;818;785;878;114981;-317;483;0;;0
6,61E+15;536;293;429;10694;-19576;281;7,76E+15;;0
597;5,33E+15;8,34E+15;568;126085;-609;305;5;;0
995;412;823;5,33E+15;168028;-7335;274;144;;0
148;59;768;5,92E+15;93844;-8443;363;452;0;0
973;303;942;415;71507;-23138;346;907;;0
785;324;146;233;118664;-18737;364;318;40;0
8,01E+15;146;915;0;13915;-38087;538;88;;0
173;685;931;1,67E+15;139981;-6983;146;603;;0
991;478;126;176;72351;-21629;483;926;;0
0,00242;467;963;336;92513;-5275;696;691;;0
502;456;524;416;120088;-9888;308;175;;0
708;705;7,96E+15;8,64E+15;166042;-6845;267;0;650;1
804;711;87;569;99843;-4513;484;306;600;1
691;763;598;503;119972;-11368;132;108;;0
0,00188;501;905;584;123277;-5721;518;765;750;1
927;395;763;588;97694;-8555;201;0;0;0
823;55;316;157;141143;-14818;574;728;;0
0,000217;207;988;572;98685;-2522;184;792;40;0
445;4,37E+15;479;1,12E+15;74546;-11608;303;0,00502;;0
897;614;492;631;66922;-22602;395;893;;0
119;799;69;8,96E+15;129297;-4998;749;0,00287;650;1
568;23;4,92E+15;262;160139;-5767;317;0,000818;680;1
993;6,51E+15;305;888;109094;-15608;367;482;;0
255;4,38E+15;805;564;113253;-6237;624;0,00569;770;1
527;451;462;5,33E+15;8,9174E+15;-8962;782;0;840;1
986;3,29E+15;596;915;121541;-1806;574;0;;0
363;637;848;748;103998;-6275;476;209;;0
988;295;91;21;92538;-23132;404;922;;0
835;425;972;511;172016;-4173;127;194;0;0
98;381;967;257;117666;-17368;486;738;;0
194;716;943;962;124457;-4807;396;469;;0
767;477;336;186;139059;-16907;4,1E+14;948;0;0
215;684;455;487;97956;-8,216E+15;307;0,000108;730;1
318;642;861;5,82E+15;92912;-3837;294;0;630;1
72;456;374;292;1,34104E+16;-8025;263;0;;0
775;177;344;31;181759;-9894;319;0,00202;;0
238;33;441;331;189945;-11169;388;551;;0
357;6,51E+15;434;467;12093;-7942;638;909;;0
992;401;459;3;105766;-28786;352;898;;0
185;638;5,76E+15;2,02E+15;132009;-8423;343;975;;0
8,22E+15;635;366;163;10085;-9771;651;747;;0
925;365;315;216;114399;-28704;385;846;60;0
77;514;308;7,02E+15;106624;-14288;311;0,000025;;0
951;4,54E+15;544;1,37E+15;175646;-16445;562;131;;0
0,00183;25;962;38;16252;-4006;814;1,08E+11;0;0
863;608;305;509;76145;-8,614E+15;418;242;0;0
508;808;13;307;1738;-22696;428;932;;0
728;4,92E+15;5,49E+15;4,58E+15;120185;-7352;313;19;;0
537;299;28;5,72E+15;81643;-20135;288;878;;0
762;275;825;311;125235;-8742;391;888;0;0
265;307;233;4,37E+15;7,1011E+15;-20473;403;487;;0
346;8,34E+15;402;193;140056;-842;1,17E+15;0;;0
467;629;364;701;166266;-12259;38;204;670;1
809;507;424;273;171144;-7,201E+16;569;699;;0
91;4,43E+15;215;178;1444;-14388;357;2,89E+13;;0
795;7,12E+15;374;779;133952;-10215;511;0;650;1
103;71;637;574;9361;-7222;344;0;;0
988;155;361;156;169986;-23366;457;243;;0
88;158;737;372;7,9996E+15;-25978;417;959;;0
355;508;3,38E+15;758;8,9114E+15;-17439;685;0,00174;;0
316;522;542;21;125801;-8171;141;0;;0
246;713;872;648;95017;-5146;623;5,74E+13;;0
863;233;339;476;97971;-27212;417;865;0;0
413;593;282;311;8009;-17451;423;396;0;0
983;433;71;381;131036;-1971;469;0,000383;;0
87400000000;4,38E+15;94;421;10099;-3249;452;777;720;1
753;5,43E+15;773;585;93952;-5895;367;855;;0
0,00208;178;8,81E+15;574;198276;-6263;102;38;0;0
484;688;526;276;1,41927E+16;-7803;327;0;;0
244;746;873;8,17E+15;148075;-3803;128;0;740;1
4,68E+15;8,42E+15;679;812;110774;-9813;114;0;;0
953;703;246;58;90871;-1,3529E+16;567;89;;0
367;401;888;365;146781;-3793;401;0;600;1
89;171;161;945;166421;-18206;395;8,86E+15;;0
44;598;735;615;111129;-10882;973;215;630;1
164;774;737;8,59E+15;119986;-676;333;3,04E+13;;0
0,000155;4;957;479;120026;-9712;711;902;;0
7,81E+15;523;365;708;8,0144E+15;-9797;36;0;;0
871;416;664;286;81354;-6,302E+16;304;0;480;0
944;16;541;423;8,4487E+15;-24195;423;701;0;0
7,93E+15;409;192;259;180983;-14837;151;0;;0
233;494;428;441;87723;-7239;203;752;830;1
389;853;725;826;130018;-7,373E+15;659;0;;0
158;365;745;118;100007;-3419;342;701;0;0
117;292;823;244;89939;-6763;407;0,00779;640;1
81;431;8,74E+15;8,11E+15;1,47449E+16;-9095;341;132;;0
263;617;6,78E+15;6,56E+15;132313;-6774;415;0;;0
179;8,08E+15;535;848;114031;-12521;353;0,00991;750;1
891;5,92E+15;664;928;1,35402E+16;-10439;304;0;0;0
459;451;887;6,81E+15;138951;-4888;336;0,000329;10;0
785;386;943;411;1,38038E+16;-4038;634;292;;0
8,42E+15;552;21;305;7,1948E+15;-10479;326;0;20;0
988;31;115;376;132181;-24556;38;836;0;0
7,71E+15;509;411;703;156812;-10442;307;484;;0
336;523;944;324;139997;-3,581E+16;837;557;630;1
958;214;176;303;127352;-14946;396;97;;0
592;633;314;228;111722;-12829;319;467;710;1
