acousticness,danceability,energy,valence,tempo,loudness,speechiness,instrumentalness,track_popularity,is_hit
0.0336,0.213,0.557,0.363,158.86700000000005,-9.214,0.0363,0.0693,,0
0.509,0.406,0.665,0.5529999999999999,159.997,-6.263999999999999,0.0286,0.000641,61.0,1
0.0156,0.67,0.847,0.613,150.109,-3.723,0.043,0.0,59.0,1
0.0043,0.6829999999999999,0.703,0.3779999999999999,98.953,-5.154,0.0585,1.49e-05,57.0,1
0.428,0.628,0.74,0.708,143.917,-6.509,0.0272,0.0,60.0,1
0.0001149999999999,0.3229999999999999,0.716,0.149,96.059,-7.425,0.0509,0.485,,0
0.5870000000000001,0.5720000000000001,0.406,0.265,119.812,-8.624,0.0427,4.48e-06,76.0,1
0.831,0.509,0.17,0.767,62.16,-17.968,0.0444,0.0,,0
0.6890000000000001,0.519,0.461,0.361,79.036,-9.525,0.0337,0.0,50.0,1
0.0812,0.7559999999999999,0.589,0.8109999999999999,146.928,-5.093,0.2319999999999999,0.0,62.0,1
0.176,0.895,0.6940000000000001,0.632,93.944,-4.384,0.275,0.0,72.0,1
0.965,0.391,0.0783,0.325,125.194,-15.581,0.0497,5.23e-05,1.0,0
0.00273,0.616,0.451,0.457,176.017,-13.857,0.0883,0.0206,,0
0.8690000000000001,0.693,0.257,0.603,90.012,-7.785,0.0356,0.0,63.0,1
0.321,0.726,0.616,0.469,155.203,-7.851,0.176,2.49e-05,,0
0.0784,0.608,0.7559999999999999,0.55,176.08599999999996,-2.675,0.176,0.0,80.0,1
0.0588,0.585,0.7559999999999999,0.721,125.845,-6.871,0.027,0.114,0.0,0
0.286,0.6609999999999999,0.72,0.688,169.899,-4.726,0.316,0.0,52.0,1
0.00144,0.4920000000000001,0.969,0.5379999999999999,95.137,-4.419,0.0492,1.36e-06,52.0,1
0.318,0.562,0.594,0.423,62.87600000000001,-4.578,0.0558,0.0,68.0,1
